timestamp,open,high,low,close,volume
2016-01-01,430.91,436.0,427.2,432.02,3894.6187253
2016-01-02,432.02,435.99,430.42,433.47,3190.45302954
2016-01-03,433.68,434.2,424.32,426.99,3929.92611337
2016-01-04,427.0,435.35,424.06,433.15,5057.11928764
2016-01-05,432.53,435.86,429.5,432.31,5179.44519201
2016-01-06,432.3,432.67,426.54,430.5,5253.1935252700005
2016-01-07,430.5,456.75,429.11,456.75,14883.52109759
2016-01-08,456.75,465.0,444.51,450.0,12002.73060748
2016-01-09,450.5,454.0,446.68,450.15,4453.46849327
2016-01-10,450.15,452.99,440.8,446.85,4250.97655224
2016-01-11,446.86,451.13,438.0,447.95,7657.38475248
2016-01-12,447.95,449.0,442.88,446.63,4453.0799536800005
2016-01-13,446.62,447.34,424.5,429.5,12550.637907610002
2016-01-14,429.5,434.0,427.0,432.0,4263.6389009800005
2016-01-15,432.0,432.1,381.35,390.82,29813.149700709997
2016-01-16,391.39,392.6,352.0,374.59,26459.735964789998
2016-01-17,374.6,392.07,373.68,386.08,13748.64637322
2016-01-18,386.08,388.5,373.63,385.48,7870.4073927399995
2016-01-19,385.18,386.92,377.15,379.24,6332.28521437
2016-01-20,379.16,415.0,372.53,408.57,22055.62278423
2016-01-21,407.02,422.98,405.03,408.1,12917.49639149
2016-01-22,408.17,413.08,380.01,383.7,12272.824586350001
2016-01-23,383.71,395.0,374.45,388.71,10418.446680680001
2016-01-24,388.16,405.55,382.88,403.72,5524.95188154
2016-01-25,403.72,405.97,385.5,389.89,8054.25820381
2016-01-26,389.62,397.7,388.0,393.48,5723.4187314
2016-01-27,393.45,397.0,386.2,394.43,5523.40235912
2016-01-28,393.46,396.12,376.0,382.45,11044.49477214
2016-01-29,382.15,383.99,363.73,376.47,12497.15973542
2016-01-30,376.47,380.42,372.0,377.71,3908.2985113100003
2016-01-31,377.6,380.37,372.72,375.98,3187.25293265
2016-02-01,375.19,378.2,364.7,371.91,7743.79745004
2016-02-02,371.9,375.0,369.06,373.05,6275.68868779
2016-02-03,373.04,374.0,367.17,368.88,6353.815148739999
2016-02-04,368.88,389.99,365.0,383.47,10820.52943774
2016-02-05,383.47,391.88,383.42,386.7,10560.495966679999
2016-02-06,386.7,387.31,371.35,375.52,6026.0084057
2016-02-07,375.52,380.0,373.23,374.48,3021.0216392
2016-02-08,374.31,378.99,373.04,375.36,4690.686142250001
